code,system
14A7.00,readv2
14AK.00,readv2
1M4..00,readv2
662M.00,readv2
7P24200,readv2
G663.00,readv2
G664.00,readv2
14A7.11,readv2
661M700,readv2
661N700,readv2
662M100,readv2
662M200,readv2
662e.00,readv2
662e.11,readv2
8HHM.00,readv2
8IEC.00,readv2
9h2..00,readv2
9h21.00,readv2
9h22.00,readv2
Fyu5600,readv2
G665.00,readv2
G666.00,readv2
G66..00,readv2
G66..11,readv2
G66..12,readv2
G66..13,readv2
G667.00,readv2
G668.00,readv2
G68X.00,readv2
Gyu6C00,readv2
L440.11,readv2
L440.12,readv2
ZV12511,readv2
ZV12512,readv2
100639.0,med
104505.0,med
104638.0,med
105100.0,med
107195.0,med
107886.0,med
10792.0,med
10962.0,med
109743.0,med
110337.0,med
11039.0,med
11074.0,med
18686.0,med
19348.0,med
34135.0,med
55351.0,med
56458.0,med
5871.0,med
6228.0,med
6305.0,med
66873.0,med
7138.0,med
G46.3,icd10
G46.4,icd10
G46.5,icd10
G46.6,icd10
G46.7,icd10
G46.8,icd10
I64,icd10
I69.4,icd10